in00 (subrange from 0 to 2e-06) X,in00 (subrange from 0 to 2e-06) Y,in01 (subrange from 0 to 2e-06) X,in01 (subrange from 0 to 2e-06) Y,in10 (subrange from 0 to 2e-06) X,in10 (subrange from 0 to 2e-06) Y,in11 (subrange from 0 to 2e-06) X,in11 (subrange from 0 to 2e-06) Y,s1 (subrange from 0 to 2e-06) X,s1 (subrange from 0 to 2e-06) Y,s0 (subrange from 0 to 2e-06) X,s0 (subrange from 0 to 2e-06) Y,out (subrange from 0 to 2e-06) X,out (subrange from 0 to 2e-06) Y
6.619777557028231e-10,0,6.619777557028231e-10,0.33,6.619777557028231e-10,1,6.619777557028231e-10,0.66,6.619777557028231e-10,1,6.619777557028231e-10,0,6.619777557028231e-10,-0.005756015280583198
6.869254455679302e-10,0,6.869254455679302e-10,0.33,6.869254455679302e-10,1,6.869254455679302e-10,0.66,6.869254455679302e-10,1,6.869254455679302e-10,0,6.869254455679302e-10,-0.005035936180173014
7.087470651689371e-10,0,7.087470651689371e-10,0.33,7.087470651689371e-10,1,7.087470651689371e-10,0.66,7.087470651689371e-10,1,7.087470651689371e-10,0,7.087470651689371e-10,-0.004297563524952358
7.522520507222314e-10,0,7.522520507222314e-10,0.33,7.522520507222314e-10,1,7.522520507222314e-10,0.66,7.522520507222314e-10,1,7.522520507222314e-10,0,7.522520507222314e-10,-0.002540113729260403
7.864912719301752e-10,0,7.864912719301752e-10,0.33,7.864912719301752e-10,1,7.864912719301752e-10,0.66,7.864912719301752e-10,1,7.864912719301752e-10,0,7.864912719301752e-10,-0.0008969978691873835
8.262553838732698e-10,0,8.262553838732698e-10,0.33,8.262553838732698e-10,1,8.262553838732698e-10,0.66,8.262553838732698e-10,1,8.262553838732698e-10,0,8.262553838732698e-10,0.001286438572395048
8.689214500488726e-10,0,8.689214500488726e-10,0.33,8.689214500488726e-10,1,8.689214500488726e-10,0.66,8.689214500488726e-10,1,8.689214500488726e-10,0,8.689214500488726e-10,0.003951829434545267
9.273257372849914e-10,0,9.273257372849914e-10,0.33,9.273257372849914e-10,1,9.273257372849914e-10,0.66,9.273257372849914e-10,1,9.273257372849914e-10,0,9.273257372849914e-10,0.008122831780191086
1.005321424213546e-09,0,1.005321424213546e-09,0.33,1.005321424213546e-09,1,1.005321424213546e-09,0.66,1.005321424213546e-09,1,1.005321424213546e-09,0,1.005321424213546e-09,0.01459667616969222
1.124437037103402e-09,0,1.124437037103402e-09,0.33,1.124437037103402e-09,1,1.124437037103402e-09,0.66,1.124437037103402e-09,1,1.124437037103402e-09,0,1.124437037103402e-09,0.0263270578852287
1.316721717316462e-09,0,1.316721717316462e-09,0.33,1.316721717316462e-09,1,1.316721717316462e-09,0.66,1.316721717316462e-09,1,1.316721717316462e-09,0,1.316721717316462e-09,0.04935858097151182
1.563705476048802e-09,0,1.563705476048802e-09,0.33,1.563705476048802e-09,1,1.563705476048802e-09,0.66,1.563705476048802e-09,1,1.563705476048802e-09,0,1.563705476048802e-09,0.08491164830850913
1.847536024777523e-09,0,1.847536024777523e-09,0.33,1.847536024777523e-09,1,1.847536024777523e-09,0.66,1.847536024777523e-09,1,1.847536024777523e-09,0,1.847536024777523e-09,0.1317333653120985
2.167221475653048e-09,0,2.167221475653048e-09,0.33,2.167221475653048e-09,1,2.167221475653048e-09,0.66,2.167221475653048e-09,1,2.167221475653048e-09,0,2.167221475653048e-09,0.1891674451839706
2.548651600166036e-09,0,2.548651600166036e-09,0.33,2.548651600166036e-09,1,2.548651600166036e-09,0.66,2.548651600166036e-09,1,2.548651600166036e-09,0,2.548651600166036e-09,0.2604358967232663
3.035142963713455e-09,0,3.035142963713455e-09,0.33,3.035142963713455e-09,1,3.035142963713455e-09,0.66,3.035142963713455e-09,1,3.035142963713455e-09,0,3.035142963713455e-09,0.3503242353113192
3.700064764606906e-09,0,3.700064764606906e-09,0.33,3.700064764606906e-09,1,3.700064764606906e-09,0.66,3.700064764606906e-09,1,3.700064764606906e-09,0,3.700064764606906e-09,0.4634090256552689
4.440377502305707e-09,0,4.440377502305707e-09,0.33,4.440377502305707e-09,1,4.440377502305707e-09,0.66,4.440377502305707e-09,1,4.440377502305707e-09,0,4.440377502305707e-09,0.5696776089663981
5.135918206678459e-09,0,5.135918206678459e-09,0.33,5.135918206678459e-09,1,5.135918206678459e-09,0.66,5.135918206678459e-09,1,5.135918206678459e-09,0,5.135918206678459e-09,0.6491602076124462
5.854655245334393e-09,0,5.854655245334393e-09,0.33,5.854655245334393e-09,1,5.854655245334393e-09,0.66,5.854655245334393e-09,1,5.854655245334393e-09,0,5.854655245334393e-09,0.7135777594739887
6.678609362165006e-09,0,6.678609362165006e-09,0.33,6.678609362165006e-09,1,6.678609362165006e-09,0.66,6.678609362165006e-09,1,6.678609362165006e-09,0,6.678609362165006e-09,0.7717891679310663
7.261602509048115e-09,0,7.261602509048115e-09,0.33,7.261602509048115e-09,1,7.261602509048115e-09,0.66,7.261602509048115e-09,1,7.261602509048115e-09,0,7.261602509048115e-09,0.805978422836463
7.878355451086481e-09,0,7.878355451086481e-09,0.33,7.878355451086481e-09,1,7.878355451086481e-09,0.66,7.878355451086481e-09,1,7.878355451086481e-09,0,7.878355451086481e-09,0.8373738522033003
8.427420899886139e-09,0,8.427420899886139e-09,0.33,8.427420899886139e-09,1,8.427420899886139e-09,0.66,8.427420899886139e-09,1,8.427420899886139e-09,0,8.427420899886139e-09,0.861587338044681
8.96722664973279e-09,0,8.96722664973279e-09,0.33,8.96722664973279e-09,1,8.96722664973279e-09,0.66,8.96722664973279e-09,1,8.96722664973279e-09,0,8.96722664973279e-09,0.8822774682314269
9.918703324120979e-09,0,9.918703324120979e-09,0.33,9.918703324120979e-09,1,9.918703324120979e-09,0.66,9.918703324120979e-09,1,9.918703324120979e-09,0,9.918703324120979e-09,0.9122099273550399
1.182165667289736e-08,0,1.182165667289736e-08,0.33,1.182165667289736e-08,1,1.182165667289736e-08,0.66,1.182165667289736e-08,1,1.182165667289736e-08,0,1.182165667289736e-08,0.9527432949803737
1.402548525817539e-08,0,1.402548525817539e-08,0.33,1.402548525817539e-08,1,1.402548525817539e-08,0.66,1.402548525817539e-08,1,1.402548525817539e-08,0,1.402548525817539e-08,0.9777480188645874
1.647648971192104e-08,0,1.647648971192104e-08,0.33,1.647648971192104e-08,1,1.647648971192104e-08,0.66,1.647648971192104e-08,1,1.647648971192104e-08,0,1.647648971192104e-08,0.9906406336132367
1.916388167050933e-08,0,1.916388167050933e-08,0.33,1.916388167050933e-08,1,1.916388167050933e-08,0.66,1.916388167050933e-08,1,1.916388167050933e-08,0,1.916388167050933e-08,0.9964650361057434
2.241567679990892e-08,0,2.241567679990892e-08,0.33,2.241567679990892e-08,1,2.241567679990892e-08,0.66,2.241567679990892e-08,1,2.241567679990892e-08,0,2.241567679990892e-08,0.9989914188347925
2.663982386007256e-08,0,2.663982386007256e-08,0.33,2.663982386007256e-08,1,2.663982386007256e-08,0.66,2.663982386007256e-08,1,2.663982386007256e-08,0,2.663982386007256e-08,0.9998434175932822
3.261820323456978e-08,0,3.261820323456978e-08,0.33,3.261820323456978e-08,1,3.261820323456978e-08,0.66,3.261820323456978e-08,1,3.261820323456978e-08,0,3.261820323456978e-08,1.0000080015918
4.167341582157343e-08,0,4.167341582157343e-08,0.33,4.167341582157343e-08,1,4.167341582157343e-08,0.66,4.167341582157343e-08,1,4.167341582157343e-08,0,4.167341582157343e-08,1.000000623306032
5.779511612022246e-08,0,5.779511612022246e-08,0.33,5.779511612022246e-08,1,5.779511612022246e-08,0.66,5.779511612022246e-08,1,5.779511612022246e-08,0,5.779511612022246e-08,0.999999720244221
7.930770899682798e-08,0,7.930770899682798e-08,0.33,7.930770899682798e-08,1,7.930770899682798e-08,0.66,7.930770899682798e-08,1,7.930770899682798e-08,0,7.930770899682798e-08,0.9999994769677624
